kyrBP,InsolationJul65N
186,500.718375
187,497.38221
188,492.690946
189,487.206942
190,481.612136
191,476.260602
192,471.575963
193,467.767294
194,464.884603
195,462.94934
196,462.006394
197,461.8785
198,462.643127
199,464.217792
200,466.562599
201,469.649159
202,473.372305
203,477.497114
204,481.783029
205,485.736709
206,488.859866
207,490.611039
208,490.614373
209,488.549318
210,484.66755
211,479.301028
212,473.027277
213,466.629752
214,460.708076
215,455.673698
216,452.005342
217,449.718042
218,448.86922
219,449.417646
220,451.257319
221,454.208507
222,458.276612
223,463.304531
224,469.234122
225,475.995842
226,483.413093
227,491.155257
228,498.862102
229,505.84746
230,511.318468
231,514.618753
232,514.993042
233,512.266671
234,506.643938
235,498.778705
236,489.502582
237,480.042771
238,471.030291
239,463.205427
240,456.954831
241,452.334713
242,449.306513
243,447.918774
244,447.874508
245,449.245671
246,452.00098
247,456.07563
248,461.512308
249,468.166064
250,475.553588
251,483.038709
252,489.55601
253,493.834158
254,494.889912
255,492.367007
256,486.37998
257,478.28629
258,469.377439
259,460.980981
260,454.156654
261,449.46673
262,446.893424
263,446.523005
264,447.963842
265,450.955019
266,455.287163
267,460.770517
268,467.191286
269,474.500938
270,482.474149
271,490.683861
272,498.751978
273,505.893018
274,511.310017
275,514.364376
276,514.574492
277,511.781959
278,506.571352
279,499.488773
280,491.420666
281,483.249346
282,475.602417
283,468.81785
284,463.341687
285,459.080992
286,456.06701
287,454.323677
288,453.636824
289,453.916901
290,455.186434
291,457.161558
292,459.814892
293,463.024888
294,466.531565
295,470.157523
296,473.760043
297,476.960475
298,479.623602
299,481.609438
300,482.681806
301,482.845187
302,482.242614
303,480.7718
304,478.809609
305,476.516003
306,474.059253
307,471.735608
308,469.769755
309,468.183003
310,467.209035
311,466.877539
312,467.148049
313,468.094849
314,469.702986
315,471.828429
316,474.556178
317,477.761895
318,481.263844
319,485.036848
320,488.773854
321,492.154425
322,494.895098
323,496.60102
324,496.858821
325,495.583932
326,492.664031
327,488.254777
328,482.794289
329,476.760614
330,470.59679
331,464.923728
332,460.04094
333,456.189655
334,453.627554
335,452.293655
336,452.225584
337,453.414068
338,455.74347
339,459.116106
340,463.510775
341,468.664842
342,474.333584
343,480.2557
344,485.832882
345,490.561942
346,493.950983
347,495.491812
348,494.999798
349,492.696372
350,488.803514
351,484.032625
352,478.965955
353,474.164363
354,470.052338
355,466.945895
356,464.875243
357,463.918195
358,464.037755
359,465.093125
360,467.053771
361,469.8445
362,473.232158
363,477.123044
364,481.148016
365,484.859127
366,487.766772
367,489.341931
368,489.121476
369,487.026262
370,483.201632
371,478.165896
372,472.548602
373,467.149187
374,462.464638
375,458.973373
376,456.884739
377,456.232764
378,456.97989
379,459.015562
380,462.102406
381,466.103055
382,470.687794
383,475.555171
384,480.306199
385,484.534965
386,487.771462
387,489.782333
388,490.375048
389,489.632437
390,487.836834
391,485.371582
392,482.669238
393,480.124106
394,478.042295
395,476.583625
396,475.893364
397,475.897911
398,476.617665
399,477.831506
400,479.471124
401,481.166467
402,482.746774
403,483.792613
404,484.073933
405,483.326929
406,481.52645
407,478.720924
408,475.225377
409,471.389228
410,467.624797
411,464.292578
412,461.722383
413,460.044966
414,459.37783
415,459.731544
416,461.035424
417,463.162899
418,466.014411
419,469.245699
420,472.72126
421,475.989834
422,478.813997
423,480.807068
424,481.891374
