date, pm25, pm10, o3, no2, so2, co
03/06/2022,57,19,34,3, , 
02/06/2022,56,22,44,16, ,1
01/06/2022,50,21,35,20, ,1
31/05/2022,40,15,25,18, ,1
30/05/2022,33,18,24,13, ,1
29/05/2022,34,21,26,15, ,1
28/05/2022,44,15,27,8, , 
27/05/2022,35,17,27,12, ,1
26/05/2022,31,22,33,15, ,4
25/05/2022,34,19,21,18, ,3
24/05/2022,29,19,24,21, ,1
23/05/2022,39,18,24,20,1,1
22/05/2022,50,18,24,20, , 
21/05/2022,50,22,36,19, ,1
20/05/2022,44,20,29,19, ,1
19/05/2022,42,19,30,25, ,1
18/05/2022,43,22,36,25, ,1
17/05/2022,45,23,32,24,1,1
16/05/2022,57,21,33,26, ,2
15/05/2022,69,30,28,24,1,6
14/05/2022,53,35,31,22,1,6
13/05/2022,44,30,38,21, ,5
12/05/2022,36,21,32,24, ,6
11/05/2022,47,24,27,19,1,1
10/05/2022,50,21,24,17,1,1
09/05/2022,55,26,27,18,1,1
08/05/2022,51,26,32,26,1,5
07/05/2022,39,21,31,14, ,6
06/05/2022,57,16,21,18, ,4
05/05/2022,56,26,28,26,1,3
04/05/2022,74,23,27,23,1,1
03/05/2022,71,35,21,27,1,1
02/05/2022,69,28,17,20, , 
01/05/2022,59,28,27,21, ,1
30/04/2022,56,25,31,21, ,2
29/04/2022,56,25,36,19, ,2
28/04/2022,52,26,29,18, ,1
27/04/2022,40,25,31,4, ,1
26/04/2022,37,22,29,15, ,1
25/04/2022,35,13,33,17, ,1
24/04/2022,67,15,29,15, ,1
23/04/2022,72,30,38,9, ,1
22/04/2022,57,35,33,11, , 
21/04/2022,62,22,31,13, ,1
20/04/2022,56,28,32,16, ,1
19/04/2022,46,25,32,16, ,2
18/04/2022,56,19,33,14, ,3
17/04/2022,90,21,34,18, ,4
16/04/2022,91,29,40,23, ,3
15/04/2022,42,39,31,25, ,2
14/04/2022,40,15,32,26, ,3
13/04/2022,43,14,27,24, ,2
12/04/2022,61,18,27,20,1,1
11/04/2022,59,32,26,28,1,2
10/04/2022,46,30,21,35,1,4
09/04/2022,44,18,30,23, ,4
08/04/2022,41,16,25,16, ,6
07/04/2022,28,17,27,17, ,4
06/04/2022,28,16,23,14, ,5
05/04/2022,35,14,31,24, ,2
04/04/2022,43,18,31,21, ,4
03/04/2022,53,16,28,24,1,5
02/04/2022,47,20,31,20, ,5
01/04/2022,32,19,33,15, ,3
31/03/2022,44,14,32,11, ,1
30/03/2022,92,19,30,8, ,6
29/03/2022,89,41,30,13,1,3
28/03/2022,79,38,30,20,1,1
27/03/2022,62,35,21,28,2,1
26/03/2022,96,27,23,21,3,1
25/03/2022,144,47,42,30,3,2
24/03/2022,144,64,40,37,3,3
23/03/2022,140,67,39,47,3,5
22/03/2022,125,61,39,41,2,3
21/03/2022,108,56,34,35,1,2
20/03/2022,80,51,28,23,1,4
19/03/2022,70,32,31,20, ,2
18/03/2022,57,32,28,17, ,1
17/03/2022,53,29,29,28, ,5
16/03/2022,70,26,25,29,1,11
15/03/2022,58,28,24,22,2,3
14/03/2022,60,24,25,29,1,3
13/03/2022,50,23,36,29,2,3
12/03/2022,47,16,30,20,1,2
11/03/2022,61,19,32,19,1,2
10/03/2022,65,21,26,24,2,2
09/03/2022,66,23,28,28,1,3
08/03/2022,83,28,27,23,1,2
07/03/2022,52,35,23,18,1,2
06/03/2022,54,21,24,21, ,1
05/03/2022,62,18,25,12, , 
04/03/2022,64,16,25,13, ,1
03/03/2022,100,23,24,19, ,1
02/03/2022,98,41,19,33, ,2
01/03/2022,53,31,15,25, ,2
28/02/2022,42,16,18,23, ,1
27/02/2022,32,14,25,28,1,3
26/02/2022,41,11,26,21, ,4
25/02/2022,33,15,29,29, ,5
24/02/2022,14,15,26,24,1,5
23/02/2022,35,6,31,24,1,6
22/02/2022,53,15,30,27, ,3
21/02/2022,49,25,28,24, ,3
20/02/2022,49,21,29,14, ,3
19/02/2022,49,21,30,14, ,1
18/02/2022,46,21,26,21,1,4
17/02/2022,49,26,31,15, ,6
16/02/2022,39,30,29,21,1,7
15/02/2022,45,15,32,16,1, 
14/02/2022,41,22,26,25,1,2
13/02/2022,48,15,25,21,1,8
12/02/2022,47,19,27,14,1,9
11/02/2022,44,23,24,19, ,10
10/02/2022,42,22,19,28, ,12
09/02/2022,28,18,17,22, ,12
08/02/2022,28,17,28,24,1,9
07/02/2022,45,12,28,24, ,9
06/02/2022,30,24,29,25,1,13
05/02/2022,40,14,29,11, ,11
04/02/2022,40,28,30,22, ,10
03/02/2022,49,23,29,21, ,11
02/02/2022,47,27,26,24,1,6
01/02/2022,42,22,25,11,1,4
31/01/2022,47,19,22,7,1,5
30/01/2022,45,19,28,7,1,5
29/01/2022,37,25,25,14,1,4
28/01/2022,50,20,25,10, ,1
27/01/2022,54,24,18,28,2,3
26/01/2022,68,23,18,23,1,2
25/01/2022,81,25,14,27,1,1
24/01/2022,73,28,12,19,1, 
23/01/2022,26,27,20,21,1, 
22/01/2022,49,26,22,20,1,1
21/01/2022,47,15,20,19,1, 
20/01/2022,50,21,9,24,1,3
19/01/2022,62,20,18,17,1,7
18/01/2022,100,31,14,22, ,6
17/01/2022,60,43,12,33,3,11
16/01/2022,75,31,10,26,2,5
15/01/2022,101,31,15,20,2,7
14/01/2022,109,44,7,26,2,8
13/01/2022,84,47,1,38,3,11
12/01/2022,79,39,4,34,2,10
11/01/2022,57,35,6,30,2,8
10/01/2022,69,20,15,19,1,3
09/01/2022,55,31,17,37,1,7
08/01/2022,36,20,21,22,1,7
07/01/2022,32,15,22,17,1,6
06/01/2022,51,12,23,27,1,9
05/01/2022,30,17,26,23,1,5
04/01/2022,24,12,18,12, , 
03/01/2022,33,9,19,8, ,1
02/01/2022,36,13,28,4,2,2
01/01/2022,63,15,28,17,2,1
31/12/2021,45,24,18,14,2,1
30/12/2021,39,17,21,15,1, 
29/12/2021,33,12,20,14,1, 
28/12/2021,43,13,20,19,1,1
27/12/2021,56,9,27,16, ,4
26/12/2021,74,19,22,21, , 
25/12/2021,53,25,17,26,1,3
24/12/2021,52,16,16,13,1,1
23/12/2021,75,18,17,23,1,2
22/12/2021,66,29,14,26,2,4
21/12/2021,51,28,5,40,1,2
20/12/2021,25,14,21,30, ,2
19/12/2021,39,7,21,28,2,3
18/12/2021,54,9,19,21,2,2
17/12/2021,48,15,16,23, ,1
16/12/2021,36,13,19,22, ,1
15/12/2021,51,8,20,22, ,2
14/12/2021,45,17,18,26,1,3
13/12/2021,34,18,14,28,1,2
12/12/2021,33,13,21,25, ,2
11/12/2021,48,16,22,22,2,1
10/12/2021,35,21,17,39,2,5
09/12/2021,39,14,22,20,3,5
08/12/2021,65,21,20,24,4,5
07/12/2021,137,27,25,27,5,4
06/12/2021,139,48,26,32,5,4
05/12/2021,61,48,16,33,4,10
04/12/2021,83,18,22,12, ,10
03/12/2021,59,30,22,27,1,13
02/12/2021,42,22,18,38,3,13
01/12/2021,69,16,16,23,1,13
30/11/2021,66,20,26,19,1,11
29/11/2021,66,26,26,26,1,10
28/11/2021,44,25,11,35,1,10
27/11/2021,44,14,23,12,2,6
26/11/2021,48,12,25,10,1,3
25/11/2021,69,19,20,25,1,5
24/11/2021,93,26,14,21,3,3
23/11/2021,71,37,12,36,4,8
22/11/2021,48,28,4,35,3,5
21/11/2021,35,16,19,19,1,2
20/11/2021,48,14,21,13,2,3
19/11/2021,52,18,22,26,2,5
18/11/2021,57,17,14,26,2,4
17/11/2021,62,24,15,32,2,8
16/11/2021,69,26,11,29,1,13
15/11/2021,59,25,10,37, ,8
14/11/2021,38,20,6,28,1,4
13/11/2021,35,12,15,16,1,2
12/11/2021,54,13,17,18, ,5
11/11/2021,53,21,21,28,2,4
10/11/2021,48,20,17,34,2,4
09/11/2021,44,16,19,31,2,2
08/11/2021,62,18,20,32,1,4
07/11/2021,45,26,12,33,1,7
06/11/2021,72,20,21,22, ,8
05/11/2021,77,29,22,23, ,5
04/11/2021,46,28,6,32,1,12
03/11/2021,64,16,19,14, ,6
02/11/2021,52,23,19,25,1,7
01/11/2021,38,22,10,32,2,8
31/10/2021,39,17,25,26, ,6
30/10/2021,49,18,27,18,3,4
29/10/2021,48,16,25,26,3,4
28/10/2021,49,21,28,27,3,3
27/10/2021,37,20,25,27,2,3
26/10/2021,45,19,29,23,1,2
25/10/2021,45,21,25,27,1,4
24/10/2021,39,22,22,27,1,5
23/10/2021,37,20,27,23,1,4
22/10/2021,40,16,25,28,1,5
21/10/2021,43,19,22,26,1,5
20/10/2021,51,19,23,20,1,4
19/10/2021,69,22,25,21,1,2
18/10/2021,60,29,19,16,1,1
17/10/2021,60,25,15,25,1,3
16/10/2021,68,25,23,26,1,4
15/10/2021,56,31,13,32,1,5
14/10/2021,52,26,23,27, ,3
13/10/2021,44,21,22,28,1,5
12/10/2021,54,23,12,25,1,4
11/10/2021,50,22,17,20, ,3
10/10/2021,93,21,15,17, ,3
09/10/2021,101,36,17,18, ,3
08/10/2021,50,40,18,30, ,3
07/10/2021,49,22,16,20,1,2
