YEAR,Zurich,Oxford,Dublin,Wien,Kiev,Lisboa,Oslo,Madrid,Verona,Hannover,Vilnius,Helsinki
1970,8.09,10.18,8.66,9.4,7.57,16.48,4.85,14.87,12.15,7.68,5.15,3.15
1971,8.63,10.04,8.86,10.13,7.95,15.5,6.39,13.45,12.51,8.71,6.56,4.21
1972,8.68,9.89,8.24,10.37,8.87,15.3,6.41,13.73,12.47,8.47,7.05,4.7
1973,8.5,10.26,8.88,10.29,8.48,16.22,7.02,14.55,12.43,8.85,6.67,4.97
1974,9.11,9.89,8.03,10.69,8.47,15.94,6.99,14.1,12.48,9.02,6.4,4.91
1975,9.53,10.81,9.21,11.2,10.36,16.18,7.32,14.29,13.02,9.96,8.14,6.04
1976,9.25,10.89,9.1,10.35,6.99,15.94,6.55,14.12,12.18,8.89,5.33,3.05
1977,9.13,9.6,8.14,10.89,8.43,16.07,5.84,14.13,12.58,9,6.37,3.49
1978,8.2,10.01,8.69,9.61,7.47,16.42,6.07,14.69,11.84,8.72,5.87,3.31
1979,8.68,9.41,7.84,9.88,7.72,16.25,4.47,14.74,12.24,7.65,5.15,2.99
1980,8.66,10.06,8.39,9.68,7.01,16.57,5.29,14.72,12.37,8.44,5.09,3.6
1981,8.72,10.26,8.95,10.91,8.61,16.77,5.99,15.06,12.29,9.03,6.87,4.11
1982,9.34,10.31,8.67,10.33,8.46,16.75,5.83,15.21,13.05,9.06,6.43,4.02
1983,9.63,10.7,8.91,11.55,9.68,16.48,6.9,15.22,12.9,9.67,7.81,5.25
1984,8.54,10.5,8.91,10.06,8.2,16.14,6.52,13.95,12.19,8.65,6.94,4.87
1985,8.24,9.33,8.22,9.42,6.21,16.65,5.01,15.35,12.7,7.76,5.07,2.71
1986,8.71,9.46,7.87,10.5,8.08,16.39,5.2,14.69,13.1,8.49,6.23,3.94
1987,8.42,9.81,8.31,9.72,5.94,17.01,4.83,15.16,12.16,7.68,4.73,2.18
1988,9.51,10.13,8.71,10.98,7.82,16.75,6.72,15.04,13.41,9.58,6.87,4.89
1989,9.78,11.53,9.73,11.41,9.58,17.07,7.65,15.74,12.9,10.3,8.22,5.92
1990,10.3,11.44,9.46,11.61,9.78,17.33,7.28,15.9,13.52,10.39,8.12,5.23
1991,9.03,9.98,8.54,10.35,8.41,16.59,6.67,14.78,12.05,8.94,7.26,5.21
1992,9.54,10.48,8.85,11.61,8.75,16.43,7.26,14.89,12.86,9.96,7.53,5.33
1993,8.96,10.03,8.43,10.3,7.18,15.93,6.39,14.24,13.29,8.58,6.31,4.74
1994,10.62,10.96,8.79,12.03,8.85,16.67,6.11,15.54,13.82,9.89,6.97,4.17
1995,9.69,11.64,9.8,11,8.89,17.73,7.07,15.87,13.13,9.97,7.42,5.81
1996,8.36,9.88,8.57,9.51,7.4,16.88,5.49,14.94,12.39,7.4,5.48,3.85
1997,9.41,11.06,9.5,10.09,7.98,17.62,7.2,15.8,13.5,9.05,6.19,4.98
1998,9.8,11.04,9.55,11.5,8.42,17.19,6.67,15.31,14.12,9.77,6.79,4.48
1999,9.56,11.42,9.67,10.95,9.07,16.56,7.27,14.98,13.5,10.27,7.26,5.59
2000,10.35,11.01,8.96,12.15,9.33,17.16,7.68,14.97,13.33,10.6,8.07,6.15
2001,10.1,10.96,9.16,11.4,9.7,17.33,6.81,15.41,13.76,9.74,8.05,5.88
2002,10.17,11.16,9.47,11.73,9.61,16.76,7.45,14.87,13.33,10.05,8.16,5.44
2003,10.55,11.17,9.52,11.3,7.75,17.53,6.72,15.97,14.2,9.4,6.27,4.32
2004,9.57,11.22,9.34,10.88,8.91,17.2,7.37,15.13,13.34,9.7,6.86,5.03
2005,9.47,11.22,9.56,10.71,9.12,17.13,7.37,15.47,12.86,9.75,7.36,5.76
2006,9.67,11.33,9.62,10.92,8.39,17.74,7.61,15.9,13.41,9.98,6.93,5.19
2007,10.36,11.19,9.72,12.32,10.43,16.97,7.79,14.72,13.96,10.7,8.3,6.22
2008,9.76,10.75,9.37,11.7,9.84,16.96,7.78,14.93,13.5,10.2,8.21,6.78
2009,9.96,10.98,9.6,11.51,9.85,17.47,7.31,16,13.71,9.98,7.4,5.63
2010,9.07,10.15,8.41,10.65,9.57,17.3,5.62,14.76,12.75,8.63,7.08,4.19
2011,10.36,10.97,9.07,10.63,8.86,17.57,6.89,16.02,13.49,9.5,6.93,5.06
2012,10.14,10.76,9.23,11.76,9.8,16.95,7.34,15.55,14.09,9.96,7.3,5.14
2013,9.34,10.27,9.38,10.97,9.26,17.15,6.45,15.09,13.36,9.01,7.02,5.43
2014,10.86,11.87,10.22,12.22,9.76,17.54,8.93,16,14.36,11.17,8.26,6.64
2015,10.72,10.85,9,12.22,10.47,17.66,7.57,16.38,14.46,10,8.1,6.6
2016,10.58,11.55,9.8,12.09,10.13,17.99,7.64,16.18,13.93,10.59,7.74,6.06
2017,10.47,11.55,9.99,11.85,9.73,18.25,7.46,16.85,14.06,10.27,7.37,5.61
2018,11.24,11.53,9.42,12.87,10.16,17.27,7.9,15.44,14.59,10.83,8.63,6.51
2019,10.8,11.32,9.77,12.76,10.51,17.66,7.41,16.03,14.24,10.96,8.7,6.12
2020,11.35,11.78,9.67,12.26,11.26,17.85,8.73,16.13,14.17,11.11,9.39,7.79
2021,9.87,10.98,9.64,11.55,9.58,17.23,7.96,15.4,13.69,10,7.63,6.24
2022,11.79,12.4,10.37,12.62,9.88,18.48,8.07,16.93,14.64,11,7.79,5.96
