YEAR,Zurich,Oxford,Dublin,Perpignan,Kaliningrad,Wien,Uccle,Kiev,Lisboa,Oslo,Madrid,Verona,Bucuresti,Hannover,Vilnius,Helsinki
1990,10.30,11.44,9.46,15.88,9.24,11.61,10.85,9.78,17.33,7.28,15.90,13.52,11.18,10.39,8.12,5.23
1991,9.03,9.98,8.54,14.63,7.90,10.35,9.51,8.41,16.59,6.67,14.78,12.05,10.17,8.94,7.26,5.21
1992,9.54,10.48,8.85,15.06,8.42,11.61,10.09,8.75,16.43,7.26,14.89,12.86,10.23,9.96,7.53,5.33
1993,8.96,10.03,8.43,14.81,7.28,10.30,9.57,7.18,15.93,6.39,14.24,13.29,9.42,8.58,6.31,4.74
1994,10.62,10.96,8.79,15.89,7.94,12.03,10.73,8.85,16.67,6.11,15.54,13.82,12.00,9.89,6.97,4.17
1995,9.69,11.64,9.80,15.61,8.35,11.00,11.03,8.89,17.73,7.07,15.87,13.13,10.65,9.97,7.42,5.81
1996,8.36,9.88,8.57,14.99,6.13,9.51,8.86,7.40,16.88,5.49,14.94,12.39,9.63,7.40,5.48,3.85
1997,9.41,11.06,9.50,15.95,7.37,10.09,10.11,7.98,17.62,7.20,15.80,13.50,9.80,9.05,6.19,4.98
1998,9.80,11.04,9.55,15.45,7.63,11.50,10.29,8.42,17.19,6.67,15.31,14.12,11.03,9.77,6.79,4.48
1999,9.56,11.42,9.67,15.44,8.19,10.95,10.81,9.07,16.56,7.27,14.98,13.50,10.68,10.27,7.26,5.59
2000,10.35,11.01,8.96,15.38,8.95,12.15,10.77,9.33,17.16,7.68,14.97,13.33,11.34,10.60,8.07,6.15
2001,10.10,10.96,9.16,15.99,8.41,11.40,10.76,9.70,17.33,6.81,15.41,13.76,11.70,9.74,8.05,5.88
2002,10.17,11.16,9.47,15.43,9.06,11.73,10.80,9.61,16.76,7.45,14.87,13.33,11.43,10.05,8.16,5.44
