kyrsBP,InsolationJune65N
989,522.099914
990,519.208561
991,511.542263
992,499.286959
993,483.274461
994,465.423075
995,447.839165
996,432.398662
997,420.660377
998,413.587433
999,411.226317
1000,413.668002
1001,420.331509
1002,430.586076
1003,443.803212
1004,459.161278
1005,475.820114
1006,492.985073
1007,509.614096
1008,524.418003
1009,535.976472
1010,542.476232
1011,542.371191
1012,534.886611
1013,520.600471
1014,501.405137
1015,480.304631
1016,460.334197
1017,443.734225
1018,432.065747
1019,425.714608
1020,424.605464
1021,428.109902
1022,435.576955
1023,445.98137
1024,458.605648
1025,472.475326
1026,486.763729
1027,500.73198
1028,513.457369
1029,523.958833
1030,531.21546
1031,533.975843
1032,531.233191
1033,522.806872
1034,509.053458
1035,491.672507
1036,472.918292
1037,455.052917
1038,440.042192
1039,429.042912
1040,422.574924
1041,420.512992
1042,422.576012
1043,427.99067
1044,436.201497
1045,446.331441
1046,457.70195
1047,469.531403
1048,481.143244
1049,491.812883
1050,500.915436
1051,507.871445
1052,512.228404
1053,513.809119
1054,512.601626
1055,509.035265
1056,503.525775
1057,496.945701
1058,489.872687
1059,483.049093
1060,476.879412
1061,471.740381
1062,467.673911
1063,464.763786
1064,462.866371
1065,461.813106
1066,461.449591
1067,461.608689
1068,462.090749
1069,462.886147
1070,463.860634
1071,465.044215
1072,466.449736
1073,468.179404
1074,470.183446
1075,472.632485
1076,475.386535
1077,478.46765
1078,481.639838
1079,484.823229
1080,487.530835
1081,489.611873
1082,490.583203
1083,490.127335
1084,488.099098
1085,484.349647
1086,479.029784
1087,472.626166
1088,465.636575
1089,458.845232
1090,453.010566
1091,448.789726
1092,446.609066
1093,446.904525
1094,449.653283
1095,454.797121
1096,462.096667
1097,471.163469
1098,481.427371
1099,492.4718
1100,503.485598
1101,513.747798
1102,522.436962
1103,528.447863
1104,530.868318
1105,528.72542
1106,521.638161
1107,509.580688
1108,493.940334
1109,476.096139
1110,458.353286
1111,442.550646
1112,430.136485
1113,421.884457
1114,418.340466
1115,419.065733
1116,423.858926
1117,432.087896
1118,442.94393
1119,455.829468
1120,469.926165
1121,484.326897
1122,498.121246
1123,510.186124
1124,519.059759
1125,523.416631
1126,522.214058
1127,514.769151
1128,502.25522
1129,486.286028
1130,469.460028
1131,454.196267
1132,442.408735
1133,434.852116
1134,432.184524
1135,433.935534
1136,439.662715
1137,448.606245
1138,459.971189
1139,472.787041
1140,486.283777
1141,499.608178
1142,511.663519
1143,521.811196
1144,528.907337
1145,532.087668
1146,530.761245
1147,524.677543
1148,514.100385
1149,500.47909
1150,485.174835
1151,470.005617
1152,456.669073
1153,446.11707
1154,438.916347
1155,435.394424
1156,435.120971
1157,437.690038
1158,442.673622
1159,449.208184
1160,456.67423
1161,464.539723
1162,471.826958
1163,478.128594
1164,482.839196
1165,485.534836
1166,486.071777
1167,484.769262
1168,481.808615
1169,478.040582
1170,474.19285
1171,470.817489
1172,468.529963
1173,467.742526
1174,468.315103
1175,470.364958
1176,473.625579
1177,477.566778
1178,481.920005
1179,486.232698
1180,489.847848
1181,492.562532
1182,493.968032
1183,493.764359
1184,492.04272
1185,489.01493
1186,484.773942
1187,480.118136
1188,475.42645
1189,471.195216
1190,468.039748
1191,466.167415
1192,465.649749
1193,466.611218
1194,468.846399
1195,471.919225
1196,475.7224
1197,479.574258
1198,483.028658
1199,485.655521
1200,486.950516
1201,486.420608
1202,484.120664
1203,479.893531
1204,474.089876
1205,467.522257
1206,460.71851
1207,454.625553
1208,449.987062
1209,447.303981
1210,446.832409
1211,448.841591
1212,452.993964
1213,459.032367
1214,466.649842
1215,475.112545
1216,483.907415
1217,492.378507
1218,499.710001
1219,505.160725
1220,508.32884
1221,508.422612
1222,505.59208
1223,499.98976
1224,492.222356
1225,483.290165
1226,474.429407
1227,466.411471
1228,460.228814
1229,456.383597
1230,454.898748
1231,455.908784
1232,459.036018
1233,463.768113
1234,469.657414
1235,476.05246
1236,482.203316
1237,487.502932
1238,491.216916
1239,492.627632
1240,491.451212
1241,487.49987
1242,481.137262
1243,473.131224
1244,464.714599
1245,456.835973
1246,450.8101
1247,447.254332
1248,446.524568
1249,448.774361
1250,453.693343
1251,460.800358
1252,469.590665
1253,479.257049
1254,488.97458
1255,497.988042
1256,505.325283
1257,510.100322
1258,511.746893
1259,509.70545
1260,504.108394
1261,495.613868
1262,485.216657
1263,474.276413
1264,464.266268
