x1,x2,x3,x4
21875.0,-113.1045291471556,-111.83190702333422,-113.40245824531978
22000.0,-114.8200692455997,-110.43035804846238,-105.8260475214119
22125.0,-105.07602684342521,-110.85849431591481,-109.97290971236447
22250.0,-107.71616432949028,-109.03991870934445,-105.73030648830961
22375.0,-111.45834539545574,-106.12939772053322,-106.56590239044068
22500.0,-104.92667171474271,-110.95834374821229,-109.53106741689682
22625.0,-111.11418238865652,-109.40606666361835,-116.48943225610395
22750.0,-108.22431484334932,-109.28404554543377,-108.65719065877688
22875.0,-113.56028586696335,-109.12951536971534,-106.09499180027885
23000.0,-109.94563195209727,-104.34792230949003,-114.54209456561954
23125.0,-107.83597924384674,-108.28185668577738,-110.33639388083705
23250.0,-108.63024888385846,-109.872130270306,-110.71507932173137
23375.0,-111.89754750045273,-107.37466523904659,-112.4496068302867
23500.0,-105.73261644084663,-111.92434174785572,-109.97733894488802
23625.0,-113.72888402426935,-108.55016000094554,-112.03367921206802
23750.0,-105.14932538741085,-109.94226097587635,-113.13646630978346
23875.0,-109.18440321048668,-107.77891885050714,-112.27552757557498
24000.0,-107.16519152182954,-103.67869718252685,-106.05378612891077
24125.0,-112.25769495871204,-112.47325082639166,-104.76460258877454
24250.0,-107.80219493223048,-107.90738958040693,-107.04817463112735
24375.0,-106.28229529629004,-106.90116833724156,-106.2919900393363
24500.0,-101.8400904978007,-100.63691774202687,-105.51337368576954
24625.0,-103.26182483579817,-103.23782373236216,-106.80731132299572
24750.0,-108.23723561340611,-108.50175981436749,-101.83727443986515
24875.0,-100.74665394794602,-102.45557814497838,-111.15595166134025
25000.0,-105.79693635073608,-100.67228420410328,-110.08731375778734
25125.0,-101.48240696604813,-108.75484349780467,-108.58239089174837
25250.0,-106.53245549914065,-107.91769780176239,-104.07696516226589
25375.0,-103.13530205960882,-105.08115876070491,-101.40653233779331
25500.0,-101.8176401809056,-103.87806715107091,-100.41702011391351
25625.0,-99.20336932778503,-102.48860527079206,-105.33839064233021
25750.0,-102.39016849786071,-100.59153027775218,-108.5293475249941
25875.0,-105.0933284366095,-99.22362645577587,-99.75888142079222
26000.0,-106.57163271505115,-108.33602223355999,-101.70972017977766
26125.0,-102.59915925081388,-103.68133399179248,-104.11130895322886
26250.0,-97.12517670146457,-101.43135658086017,-100.79529176853669
26375.0,-98.13894237641226,-105.49985071667588,-103.1251320184361
26500.0,-93.28110524673002,-103.77790659618142,-101.76907647339088
26625.0,-98.69509720596177,-98.9721497886055,-101.02925713500537
26750.0,-104.37906137888702,-102.16442065255478,-98.8843925306975
26875.0,-97.06851892988566,-100.39685213330232,-99.23804451440688
27000.0,-105.67857374130189,-105.851919810393,-97.96163867846093
27125.0,-96.24174795310672,-102.61798053694888,-100.09484743905534
27250.0,-101.2428066525282,-95.54876459724764,-104.58971482025807
27375.0,-102.38485266256225,-102.37589710280388,-100.04596874701012
27500.0,-107.10917972041216,-107.33886283100172,-106.3087495127797
27625.0,-102.98668860693348,-101.04582816438413,-107.52521808263954
27750.0,-106.0140147178482,-105.34492530587062,-102.79752884998815
27875.0,-102.35942351398279,-103.26036125522528,-103.79757522596375
28000.0,-100.29963261329628,-104.40038748648894,-104.55283539278385
28125.0,-102.141908587318,-101.00118856217614,-108.06276549169985
28250.0,-99.278761333863,-103.87322736038787,-105.72494262487983
28375.0,-107.03426754775751,-104.25119881694474,-105.82765900675403
28500.0,-106.5427255546595,-106.3318311770913,-104.73197184807256
28625.0,-104.66142972497303,-103.36525169336895,-107.34772471574381
28750.0,-104.54045822076759,-106.41145653697097,-102.1037812288561
28875.0,-103.96203499886063,-104.4785188885167,-101.18441302754064
29000.0,-105.37383076028922,-103.31907339300867,-102.55461343593338
29125.0,-100.5367797494415,-110.38310947831609,-108.70277821507072
29250.0,-102.50442683225134,-102.5836607277085,-97.74426172513793
29375.0,-105.98373896568154,-110.02092979526883,-104.7754419579582
29500.0,-104.80909667224347,-102.51574585649593,-97.16448559789525
29625.0,-103.98624828105882,-107.39844665634658,-101.44613408471393
29750.0,-101.86603921904435,-101.05172173589487,-104.64958191084898
29875.0,-102.61578100016413,-98.65737242590727,-99.15205369494196
30000.0,-90.86850207860523,-101.10551630469364,-96.02694372828394
30125.0,-99.76350861415075,-91.74754777206398,-100.95803408447813
30250.0,-93.20247541664367,-101.90642797913438,-96.59673249049764
30375.0,-93.44762281455651,-94.5896171448879,-101.99448525074102
30500.0,-98.00548449416787,-92.32331111410919,-93.76907698532432
30625.0,-97.89032077364745,-95.78120395983133,-98.28228851534126
